,S. No.,State/ UT,Fine/Clear - Total Accidents,Fine/Clear - Persons Killed,Fine/Clear - Persons Injured,Mist/ Foggy - Total Accidents,Mist/ Foggy - Persons Killed,Mist/ Foggy - Persons Injured,Cloudy - Total Accidents,Cloudy - Persons Killed,Cloudy - Persons Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured,Snowfall - Total Accidents,Snowfall - Persons Killed,Snowfall - Persons Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured,Dust Storm - Total Accidents,Dust Storm - Persons Killed,Dust Storm - Persons Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured
0,1,Andhra Pradesh,18383,6311,22027,1051,311,1204,1025,321,1366,1456,433,1848,0,0,0,92,45,137,42,34,61,2839,1086,3408
1,2,Arunachal Pradesh,101,59,149,31,19,39,31,23,65,30,19,34,0,0,0,12,7,13,0,0,0,44,22,91
2,3,Assam,3786,1337,3117,491,168,468,391,120,274,528,162,492,0,0,0,15,8,5,36,14,19,2188,763,1752
3,4,Bihar,2543,1554,1795,1769,1013,1175,569,311,411,939,530,624,0,0,0,0,0,0,582,318,399,1820,1175,1247
4,5,Chhattisgarh,7237,2078,7173,288,85,250,672,148,489,1279,307,1099,0,0,0,0,0,0,132,28,151,3972,1262,3793
5,6,Goa,3775,298,1683,0,0,0,0,0,0,529,38,343,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Gujarat,15591,5538,14143,1059,371,910,924,374,839,759,319,786,0,0,0,64,23,51,302,115,296,3160,1396,2924
7,8,Haryana,4602,2010,4573,2983,1245,2119,787,280,751,1656,820,1883,0,0,0,70,75,175,243,150,363,893,444,667
8,9,Himachal Pradesh,2835,1116,5207,31,19,37,163,66,284,136,69,226,3,1,10,0,0,0,0,0,0,0,0,0
9,10,Jammu & Kashmir,4092,729,5593,0,0,0,71,7,90,77,13,84,23,1,24,0,0,0,0,0,0,1238,208,1901
10,11,Jharkhand,1617,752,905,367,201,280,765,305,494,859,454,586,0,0,0,160,236,417,247,108,368,917,971,743
11,12,Karnataka,28269,7298,34077,1222,268,1700,1592,349,1929,3475,872,4076,0,0,0,47,5,42,580,151,691,9218,2190,12041
12,13,Kerala,30689,3448,33945,500,30,602,1329,95,1816,6902,714,7745,0,0,0,0,0,0,0,0,0,0,0,0
13,14,Madhya Pradesh,40433,7046,41257,1307,297,1962,1710,325,2570,3931,726,4129,0,0,0,426,86,639,429,68,751,5736,1098,6565
14,15,Maharashtra,35350,11584,32150,591,161,421,1505,455,1191,1958,616,1602,0,0,0,0,0,0,474,119,520,0,0,0
15,16,Manipur,318,61,541,43,5,79,83,8,162,81,7,148,0,0,0,10,0,20,3,0,5,0,0,0
16,17,Meghalaya,344,73,236,3,3,0,4,4,0,64,17,34,0,0,0,0,0,0,0,0,0,205,53,84
17,18,Mizoram,82,69,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,Nagaland,47,26,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,47
19,20,Orissa,4831,2092,5143,876,330,1000,921,350,1019,1637,688,1621,1,0,0,47,27,42,249,95,318,1970,881,2169
20,21,Punjab,5069,3810,2879,825,602,660,566,350,452,402,264,278,0,0,0,0,0,0,69,39,59,21,12,23
21,22,Rajasthan,20911,9418,21841,430,207,335,101,40,116,475,196,545,0,0,0,28,24,31,8,4,5,1113,576,1230
22,23,Sikkim,89,38,102,25,9,31,28,12,65,19,13,35,6,7,18,9,0,0,0,0,0,34,6,12
23,24,Tamil Nadu,64808,15918,74994,1811,321,1786,1645,326,1663,2893,583,3380,0,0,0,0,0,0,0,0,0,274,70,340
24,25,Telangana,19574,6269,20614,165,50,202,251,58,286,237,55,260,0,0,0,0,0,0,4,2,12,2580,785,2843
25,26,Tripura,482,150,723,9,2,45,11,2,23,30,8,32,0,0,0,0,0,0,0,0,0,25,11,30
26,27,Uttarakhand,1203,691,1352,129,83,83,1,0,1,75,60,47,10,7,6,32,21,18,9,5,13,132,95,215
27,28,Uttar Pradesh,14110,7453,9423,3664,2160,2933,2107,1323,1715,3168,1796,2448,0,0,0,199,146,276,1521,759,1227,10843,5683,7074
28,29,West Bengal,8423,3734,6597,2061,1255,2168,627,262,551,2267,1178,2014,0,0,0,6,6,8,196,109,521,0,0,0
29,30,A & N Islands,175,15,249,0,0,0,0,0,0,63,2,74,0,0,0,0,0,0,0,0,0,0,0,0
30,31,Chandigarh,428,151,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,D & N Haveli,20,14,55,6,3,9,4,2,4,15,7,12,0,0,0,0,0,0,0,0,0,25,20,50
32,33,Daman & Diu,58,33,72,3,0,10,0,0,0,7,4,14,0,0,0,0,0,0,0,0,0,3,1,6
33,34,Delhi,3879,880,3917,425,94,414,142,34,137,449,118,371,0,0,0,171,23,165,122,27,114,2187,415,2036
34,35,Lakshadweep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,Puducherry,1413,183,1365,75,4,60,51,9,62,198,34,264,0,0,0,1,0,2,3,2,2,25,12,31
